True_Label,Predicted_Label,Prediction_Probability
1,1,0.9544047775762037
1,1,0.9431980592063522
1,1,0.9286877202831999
0,0,0.38537728394248444
0,0,0.32797402069264486
1,1,1.042160880475508
1,1,0.8675596992494828
1,0,-0.01587329232806014
1,1,0.8017764016831442
0,1,0.7515120211550258
1,1,0.9512431288663901
1,0,0.35556415301224276
1,1,0.6016878252931009
1,1,0.6745180314356285
1,1,0.8539295247931727
0,1,0.5154136421293941
1,1,0.9026514976199417
1,1,0.5260847597474608
1,0,0.3545945556306226
0,0,0.18483036688616494
1,1,0.8181035038812222
1,1,0.6137422360599686
0,1,0.635087947048367
1,1,0.7971177746501381
1,1,0.9256462779251791
1,1,1.0600318251509395
1,0,0.07497634370946013
0,0,0.3941845015276252
1,0,0.4918336166498092
0,0,0.4393276865090465
1,1,0.9613376214629206
1,1,0.9611233827402268
1,1,0.7973623220181622
1,1,0.9065699246534429
1,1,0.9098974818903788
1,1,0.8770578284724213
1,1,0.5562244769096159
0,0,0.49262404731388065
1,1,0.7768643910997879
0,1,0.47433975815161755
0,0,0.28597385020376087
0,0,0.21765093294096932
0,1,0.6788137834843552
1,1,0.6512146903063789
1,1,0.9156513993509294
0,0,0.2914481208930463
1,1,0.7459177199141329
0,0,0.08584087865466153
1,1,0.7840025635268673
0,1,0.5512733669145213
0,0,0.15604452313869643
0,0,0.38155448883190834
1,0,0.42174406693928984
1,1,0.7728831946173983
0,1,0.7173465918105874
0,0,0.1411781703247974
0,0,0.3533946685455673
0,0,0.132478712711462
0,1,0.5637655647561566
1,1,0.578173578488222
0,0,0.4002459312366996
1,1,0.8339747960803301
1,1,0.9504953270349799
1,1,0.8297347845387918
1,1,0.744470705662968
1,1,0.4971057571166959
1,1,0.9036555438037613
1,1,1.1700548943378508
1,1,0.9105459974555575
0,1,0.7838649794649815
1,1,0.8089566243889903
1,1,1.1108868032998584
0,0,0.10665893502182681
1,1,0.7321436106127029
0,0,0.37726659358109726
0,1,0.747919836973146
0,0,0.4989388397725529
1,1,0.7920407044481557
1,0,0.34394212781585165
1,1,0.8023590341445128
0,1,0.9194647358181836
1,1,0.8401388185852268
1,1,0.760127641446882
0,0,0.41040939169734225
1,1,0.7924442816161025
1,1,0.8965579030009817
1,1,1.0732457182661386
1,1,0.593622004779881
1,1,0.7691524414356609
1,1,0.8402221530983287
1,0,0.4544752186491624
1,1,1.086853007392495
0,1,0.7433897473224768
1,1,0.9549288139394363
1,1,0.5475090112056454
1,1,0.8112540889633294
1,1,1.0597761970128698
1,1,0.9575256629379417
0,0,0.4328928829049564
1,1,0.5475090112056454
0,0,0.4747118979337996
1,1,0.7871413984606911
1,0,0.3241326548767214
0,0,0.04621881624786218
1,1,1.010974157918605
1,1,0.6640107799847002
0,0,0.1226808787694689
1,1,0.7532750722976294
0,0,0.3214316346310294
1,1,1.0953518489731544
1,0,0.3377957926179487
0,0,0.4751631801530466
1,1,0.8792929860576091
1,1,0.6668611390290721
1,1,0.4833793717734959
0,0,0.00800606853643962
0,0,0.3496098294713603
1,1,0.9248944236551161
1,1,0.7547051532992809
1,1,0.8342238992951524
0,0,0.04716797300577195
1,1,0.9201077244441367
1,1,0.8943672797379995
0,1,0.6252072981226975
1,1,1.005564094759276
1,1,0.8077565315164537
1,1,1.016649697228259
0,0,0.2914481208930463
1,1,0.7256581272666405
0,0,0.2973508937000148
1,1,0.7173066930113893
0,1,0.5124962655854275
1,0,0.1403052261626356
0,1,0.6839359043320524
1,1,0.9158672589181405
1,1,0.881689135573293
0,1,0.6367756461343812
0,1,0.632927963523856
1,1,0.987757286901281
0,0,0.28548291699449535
1,0,0.4773971468673938
0,0,0.3634894849410689
1,0,0.2132458396639747
1,0,0.3152380668685595
1,1,1.1093124176674043
1,1,0.8583949068852927
1,1,0.8133033643350582
0,0,0.33453801639358505
1,0,0.19961239937809777
0,0,0.2636681125817513
1,1,0.8381185477095121
0,1,0.8505927272042664
1,1,0.6496063837708698
0,1,0.887825648342855
1,1,0.8037517357875602
1,1,1.1009753164994076
1,1,0.8945766691469494
1,1,0.6949899534383629
1,1,0.9054307275654576
0,0,0.05720757480161944
0,1,0.8228892384531946
1,0,0.28972689501584015
1,1,0.9077657055956777
1,1,0.5685819055338331
0,0,0.25295598720891477
0,1,0.9890203260840662
1,1,0.9725498311264984
0,0,0.3565001588716957
1,1,0.6376006689275229
1,1,0.8809175477241677
0,0,-5.5683481613837124e-05
1,1,0.8286914051320193
1,1,0.7792615237867972
1,1,0.6543749656266014
1,0,0.4493063265289628
1,1,0.627709159264745
1,1,0.7682764846308198
1,1,1.096111560525038
1,1,0.6813687715616533
1,0,0.49294532656876644
0,0,0.4406045820881242
1,0,0.5067918470626427
0,1,0.7010895924072408
1,1,1.0523098963442101
1,1,0.6215588546877224
1,1,0.5925384660265473
0,0,0.2674518420450374
1,1,0.5740991472753698
1,1,0.5880260665223803
1,1,0.9768600463952193
0,1,0.8171650096832457
1,0,0.3843891383150725
1,1,0.8420964002498037
1,1,0.91423455838365
1,1,0.8347679329976323
1,1,0.7789898701928684
1,1,0.8245461886186318
0,1,0.7679818281194157
1,1,0.8926653250854137
1,1,0.8096591414495797
1,1,0.624580326875428
1,1,1.033449561341409
1,1,0.9905602764009828
1,1,0.5944850489588174
1,1,0.6271135378435486
1,1,1.0220906141679822
1,1,0.7399864423632421
1,1,0.5991783434177089
1,1,0.7805724072992855
0,0,0.23282568954671484
1,1,0.9481210492561651
1,1,0.749705674503696
0,1,0.6176902519612462
0,1,0.5255156438021693
1,1,0.8211146111181968
1,1,0.9763154027904545
1,1,0.7513288792875465
0,0,0.47522936703020113
1,1,0.9891530630403057
1,1,0.6014873529027942
1,1,0.5378333092979624
1,1,1.0791228229404422
1,1,0.808604374359828
